"","0","1","2","3","4","5","6","7","8","9"
"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2.04620541848782e-25,0,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.469016702562745,1.28761073696221e-290,2.83961377153621e-11,NA,NA,NA,NA,NA,NA,NA
"4",3.09500590789032e-223,1.40179070696064e-05,8.0557128407508e-242,3.4025368987393e-155,NA,NA,NA,NA,NA,NA
"5",1.79618841935856e-32,9.82458211015162e-90,1.02736397160207e-71,8.14854305619749e-32,1.16154463242976e-39,NA,NA,NA,NA,NA
"6",7.81684683930303e-65,0,1.40162851139698e-15,1.71870432737447e-34,6.48066166280225e-213,1.04120413009075e-95,NA,NA,NA,NA
"7",0,0,0,0,0,0,1.22003999620983e-277,NA,NA,NA
"8",3.02787126408669e-25,1.25281717575795e-34,1.85233768317984e-47,3.12823156310509e-24,4.75051127581248e-16,0.0876803123636653,1.66760933137907e-73,0,NA,NA
"9",5.12260304073008e-178,9.51734368490335e-12,4.3502183555995e-167,2.03284794628927e-128,1.10667152004069e-17,4.97513054363887e-62,8.87193430619853e-185,0,3.25012602068488e-39,NA
"10",6.29085470746919e-05,5.46183055853366e-17,1.14729258090785e-10,5.77897052165269e-05,4.04754842775032e-10,0.647972080355418,1.2930906042529e-23,1.23121322950757e-136,0.189954968116263,1.34923691399688e-26
